,provenance,provenance_id
0,St-Lambrecht,provenance_165
1,Germany,provenance_060
2,Lambach Abbey,provenance_081
3,Dominican,provenance_042
4,English,provenance_049
5,St. Gallen,provenance_174
6,Southern Germany / Austria,provenance_162
7,S. Orso,provenance_149
8,St. Martial,provenance_176
9,Italy,provenance_071
10,Zutphen,provenance_216
11,Tongeren,provenance_186
12,Roma,provenance_145
13,Albi,provenance_003
14,Kraków,provenance_077
15,St. Pölten,provenance_179
16,Marseille,provenance_094
17,Tavèrnoles,provenance_183
18,Quedlinburg,provenance_133
19,Augsburg,provenance_016
20,Piacenza,provenance_124
21,Aachen,provenance_001
22,Salamanca,provenance_151
23,Esztergom,provenance_051
24,Sens,provenance_160
25,Kielce,provenance_074
26,Chiavenna,provenance_035
27,Bamberg,provenance_019
28,Mainz,provenance_090
29,Toledo,provenance_185
30,Klosterneuburg,provenance_076
31,Pavia,provenance_123
32,Utrecht,provenance_196
33,Vorau,provenance_205
34,Zwiefalten,provenance_217
35,Worcester,provenance_211
36,Würzburg,provenance_213
37,Arras,provenance_014
38,Franciscan,provenance_058
39,Saint-Amand,provenance_150
40,Lubiąż,provenance_088
41,Jumièges,provenance_073
42,Cambrai,provenance_029
43,Einsiedeln,provenance_047
44,Hilwartshausen,provenance_068
45,Prüm,provenance_132
46,Firenze,provenance_052
47,Burgos (?),provenance_028
48,Rein,provenance_140
49,Salzinnes,provenance_153
50,Benevento,provenance_023
51,Poissy-St Louis,provenance_126
52,Wrocław,provenance_212
53,St-Maur-des-Fossés,provenance_167
54,Muenster,provenance_103
55,Pozzeveri,provenance_127
56,Barnwell,provenance_020
57,St. Taurin,provenance_180
58,Kirnberg,provenance_075
59,Kremsmünster,provenance_079
60,St-Florian,provenance_164
61,Venice,provenance_199
62,Tours,provenance_190
63,Vallombrosa,provenance_197
64,Weingarten,provenance_207
65,Wales,provenance_206
66,Kranj,provenance_078
67,Rasdorf,provenance_135
68,Metz,provenance_096
69,Rome,provenance_146
70,"Prague, St. George Monastery",provenance_129
71,Paris,provenance_121
72,Spain,provenance_163
73,Milan,provenance_097
74,Köln,provenance_080
75,MonteCassino,provenance_100
76,Bellelay Abbey,provenance_021
77,St-Martial,provenance_166
78,Amersfoort,provenance_006
79,Padova,provenance_119
80,Rupertsberg,provenance_148
81,Eichstätt,provenance_046
82,Germany (south),provenance_061
83,France,provenance_056
84,"France,  South ",provenance_057
85,Prague,provenance_128
86,Rajhrad,provenance_219
87,"Braga, Catedral",provenance_218
88,Płock,provenance_220
89,Staniątki,provenance_221
90,Pilsen,provenance_222
91,Cluny,provenance_223
92,Bratislava,provenance_224
93,Bohemia,provenance_225
94,Slovakia,provenance_226
95,Tyniec,provenance_227
96,St George's Convent in Prague,provenance_129
97,"Praha, klášter sv. Jiří",provenance_129
98,Huesca,provenance_228
99,Barbastro,provenance_229
100,Saint-Maur-des-Fossés,provenance_197
101,Rome (Roma),provenance_146
102,St George's Convent in Prague (?),provenance_129
